,Year,Lg,Champion,Runner-Up,Conn Smythe
93,1935,NHL,Montreal Maroons,Toronto Maple Leafs,
94,1934,NHL,Chicago Black Hawks,Detroit Red Wings,
95,1933,NHL,New York Rangers,Toronto Maple Leafs,
96,1932,NHL,Toronto Maple Leafs,New York Rangers,
97,1931,NHL,Montreal Canadiens,Chicago Black Hawks,
98,1930,NHL,Montreal Canadiens,Boston Bruins,
99,1929,NHL,Boston Bruins,New York Rangers,
100,1928,NHL,New York Rangers,Montreal Maroons,
101,1927,NHL,Ottawa Senators,Boston Bruins,
102,1926,NHL,Montreal Maroons,Ottawa Senators,
103,1925,NHL,Montreal Canadiens,Hamilton Tigers,
104,1924,NHL,Montreal Canadiens,Ottawa Senators,
105,1923,NHL,Ottawa Senators,Montreal Canadiens,
106,1922,NHL,Toronto St. Patricks,Ottawa Senators,
107,1921,NHL,Ottawa Senators,Toronto St. Patricks,
108,1920,NHL,"No NHL playoffs.Ottawa represented NHL,def. PCHA champ Seattle for Stanley Cup.",,
109,1919,NHL,Montreal Canadiens,Ottawa Senators,
110,1918,NHL,Toronto Arenas,Montreal Canadiens,
