,champ_all
1927,"{'National Hockey LeagueNHL': {0: '1 MontréalMTL', 1: '2 MontrealMMR', 2: '3 BostonBOS', 3: '4 OttawaSEN', 4: '5 NY RangersNYR', 5: '6 PittsburghPIR', 6: '7 DetroitDCG', 7: '8 TorontoTOR', 8: '9 New YorkNYA', 9: '10 ChicagoCHI'}, 'GP': {0: 44, 1: 44, 2: 44, 3: 44, 4: 44, 5: 44, 6: 44, 7: 44, 8: 44, 9: 44}, 'W': {0: 26, 1: 24, 2: 20, 3: 20, 4: 19, 5: 19, 6: 19, 7: 18, 8: 11, 9: 7}, 'L': {0: 11, 1: 14, 2: 13, 3: 14, 4: 16, 5: 17, 6: 19, 7: 18, 8: 27, 9: 34}, 'T': {0: 7, 1: 6, 2: 11, 3: 10, 4: 9, 5: 8, 6: 6, 7: 8, 8: 6, 9: 3}, 'PTS': {0: 59, 1: 54, 2: 51, 3: 50, 4: 47, 5: 46, 6: 44, 7: 44, 8: 28, 9: 17}, 'GF': {0: 116, 1: 96, 2: 77, 3: 78, 4: 94, 5: 67, 6: 88, 7: 89, 8: 63, 9: 68}, 'GA': {0: 48, 1: 77, 2: 70, 3: 57, 4: 79, 5: 76, 6: 79, 7: 88, 8: 128, 9: 134}, 'DIFF': {0: 68, 1: 19, 2: 7, 3: 21, 4: 15, 5: -9, 6: 9, 7: 1, 8: -65, 9: -66}, 'HOME': {0: '12-7-3', 1: '12-6-4', 2: '13-4-5', 3: '13-4-5', 4: '10-8-4', 5: '10-9-3', 6: '9-10-3', 7: '9-8-5', 8: '6-13-3', 9: '2-18-2'}, 'AWAY': {0: '14-4-4', 1: '12-8-2', 2: '7-9-6', 3: '7-10-5', 4: '9-8-5', 5: '9-8-5', 6: '10-9-3', 7: '9-10-3', 8: '5-14-3', 9: '5-16-1'}, 'L10': {0: '7-3-0', 1: '7-3-0', 2: '4-4-2', 3: '5-4-1', 4: '4-4-2', 5: '7-3-0', 6: '6-3-1', 7: '3-4-3', 8: '2-8-0', 9: '0-10-0'}, 'STRK': {0: 'W2', 1: 'W1', 2: 'L3', 3: 'L1', 4: 'L1', 5: 'W6', 6: 'W1', 7: 'L1', 8: 'L7', 9: 'L10'}, 'TeamCode': ['MTL', 'MMR', 'BOS', 'SEN', 'NYR', 'PIR', 'DCG', 'TOR', 'NYA', 'CHI']}"
1928,"{'National Hockey LeagueNHL': {0: '1 MontréalMTL', 1: '2 BostonBOS', 2: '3 NY RangersNYR', 3: '4 New YorkNYA', 4: '5 TorontoTOR', 5: '6 DetroitDCG', 6: '7 OttawaSEN', 7: '8 MontrealMMR', 8: '9 PittsburghPIR', 9: '10 ChicagoCHI'}, 'GP': {0: 44, 1: 44, 2: 44, 3: 44, 4: 44, 5: 44, 6: 44, 7: 44, 8: 44, 9: 44}, 'W': {0: 22, 1: 26, 2: 21, 3: 19, 4: 21, 5: 19, 6: 14, 7: 15, 8: 9, 9: 7}, 'L': {0: 7, 1: 13, 2: 13, 3: 13, 4: 18, 5: 16, 6: 17, 7: 20, 8: 27, 9: 29}, 'T': {0: 15, 1: 5, 2: 10, 3: 12, 4: 5, 5: 9, 6: 13, 7: 9, 8: 8, 9: 8}, 'PTS': {0: 59, 1: 57, 2: 52, 3: 50, 4: 47, 5: 47, 6: 41, 7: 39, 8: 26, 9: 22}, 'GF': {0: 71, 1: 89, 2: 72, 3: 53, 4: 85, 5: 72, 6: 54, 7: 67, 8: 46, 9: 33}, 'GA': {0: 43, 1: 52, 2: 65, 3: 53, 4: 69, 5: 63, 6: 67, 7: 65, 8: 80, 9: 85}, 'DIFF': {0: 28, 1: 37, 2: 7, 3: 0, 4: 16, 5: 9, 6: -13, 7: 2, 8: -34, 9: -52}, 'HOME': {0: '12-4-6', 1: '15-6-1', 2: '12-6-4', 3: '9-6-7', 4: '15-5-2', 5: '11-6-5', 6: '7-6-9', 7: '11-8-3', 8: '5-13-4', 9: '3-13-6'}, 'AWAY': {0: '10-3-9', 1: '11-7-4', 2: '9-7-6', 3: '10-7-5', 4: '6-13-3', 5: '8-10-4', 6: '7-11-4', 7: '4-12-6', 8: '4-14-4', 9: '4-16-2'}, 'L10': {0: '7-1-2', 1: '7-2-1', 2: '4-4-2', 3: '3-3-4', 4: '5-3-2', 5: '4-4-2', 6: '4-4-2', 7: '2-8-0', 8: '1-9-0', 9: '2-4-4'}, 'STRK': {0: 'W3', 1: 'W4', 2: 'W1', 3: 'L2', 4: 'L1', 5: 'L1', 6: 'W1', 7: 'L6', 8: 'L3', 9: '1'}, 'TeamCode': ['MTL', 'BOS', 'NYR', 'NYA', 'TOR', 'DCG', 'SEN', 'MMR', 'PIR', 'CHI']}"
1929,"{'National Hockey LeagueNHL': {0: '1 BostonBOS', 1: '2 MontrealMMR', 2: '3 MontréalMTL', 3: '4 OttawaSEN', 4: '5 ChicagoCHI', 5: '6 NY RangersNYR', 6: '7 TorontoTOR', 7: '8 DetroitDCG', 8: '9 New YorkNYA', 9: '10 PittsburghPIR'}, 'GP': {0: 44, 1: 44, 2: 44, 3: 44, 4: 44, 5: 44, 6: 44, 7: 44, 8: 44, 9: 44}, 'W': {0: 38, 1: 23, 2: 21, 3: 21, 4: 21, 5: 17, 6: 17, 7: 14, 8: 14, 9: 5}, 'L': {0: 5, 1: 16, 2: 14, 3: 15, 4: 18, 5: 17, 6: 21, 7: 24, 8: 25, 9: 36}, 'T': {0: 1, 1: 5, 2: 9, 3: 8, 4: 5, 5: 10, 6: 6, 7: 6, 8: 5, 9: 3}, 'PTS': {0: 77, 1: 51, 2: 51, 3: 50, 4: 47, 5: 44, 6: 40, 7: 34, 8: 33, 9: 13}, 'GF': {0: 179, 1: 141, 2: 142, 3: 138, 4: 117, 5: 136, 6: 116, 7: 117, 8: 113, 9: 102}, 'GA': {0: 98, 1: 114, 2: 114, 3: 118, 4: 111, 5: 143, 6: 124, 7: 133, 8: 161, 9: 185}, 'DIFF': {0: 81, 1: 27, 2: 28, 3: 20, 4: 6, 5: -7, 6: -8, 7: -16, 8: -48, 9: -83}, 'HOME': {0: '21-1-0', 1: '10-9-3', 2: '13-5-4', 3: '13-6-3', 4: '12-9-1', 5: '11-5-6', 6: '10-8-4', 7: '9-10-3', 8: '11-7-4', 9: '5-16-1'}, 'AWAY': {0: '17-4-1', 1: '13-7-2', 2: '8-9-5', 3: '8-9-5', 4: '9-9-4', 5: '6-12-4', 6: '7-13-2', 7: '5-14-3', 8: '3-18-1', 9: '0-20-2'}, 'L10': {0: '9-1-0', 1: '4-5-1', 2: '5-3-2', 3: '7-2-1', 4: '5-3-2', 5: '1-4-5', 6: '3-5-2', 7: '2-6-2', 8: '4-4-2', 9: '0-9-1'}, 'STRK': {0: 'W2', 1: 'L2', 2: 'W1', 3: 'W1', 4: 'W2', 5: 'L1', 6: 'L1', 7: 'W1', 8: 'L2', 9: 'L2'}, 'TeamCode': ['BOS', 'MMR', 'MTL', 'SEN', 'CHI', 'NYR', 'TOR', 'DCG', 'NYA', 'PIR']}"
1930,"{'National Hockey LeagueNHL': {0: '1 BostonBOS', 1: '2 MontréalMTL', 2: '3 TorontoTOR', 3: '4 ChicagoCHI', 4: '5 NY RangersNYR', 5: '6 MontrealMMR', 6: '7 New YorkNYA', 7: '8 DetroitDFL', 8: '9 OttawaSEN', 9: '10 PhiladelphiaQUA'}, 'GP': {0: 44, 1: 44, 2: 44, 3: 44, 4: 44, 5: 44, 6: 44, 7: 44, 8: 44, 9: 44}, 'W': {0: 28, 1: 26, 2: 22, 3: 24, 4: 19, 5: 20, 6: 18, 7: 16, 8: 10, 9: 4}, 'L': {0: 10, 1: 10, 2: 13, 3: 17, 4: 16, 5: 18, 6: 16, 7: 21, 8: 30, 9: 36}, 'T': {0: 6, 1: 8, 2: 9, 3: 3, 4: 9, 5: 6, 6: 10, 7: 7, 8: 4, 9: 4}, 'PTS': {0: 62, 1: 60, 2: 53, 3: 51, 4: 47, 5: 46, 6: 46, 7: 39, 8: 24, 9: 12}, 'GF': {0: 143, 1: 129, 2: 118, 3: 108, 4: 106, 5: 105, 6: 76, 7: 102, 8: 91, 9: 76}, 'GA': {0: 90, 1: 89, 2: 99, 3: 78, 4: 87, 5: 106, 6: 74, 7: 105, 8: 142, 9: 184}, 'DIFF': {0: 53, 1: 40, 2: 19, 3: 30, 4: 19, 5: -1, 6: 2, 7: -3, 8: -51, 9: -108}, 'HOME': {0: '16-1-5', 1: '15-3-4', 2: '15-4-3', 3: '13-8-1', 4: '10-9-3', 5: '13-5-4', 6: '12-6-4', 7: '10-7-5', 8: '6-14-2', 9: '3-17-2'}, 'AWAY': {0: '12-9-1', 1: '11-7-4', 2: '7-9-6', 3: '11-9-2', 4: '9-7-6', 5: '7-13-2', 6: '6-10-6', 7: '6-14-2', 8: '4-16-2', 9: '1-19-2'}, 'L10': {0: '5-3-2', 1: '5-2-3', 2: '5-2-3', 3: '5-5-0', 4: '6-3-1', 5: '6-3-1', 6: '5-3-2', 7: '2-7-1', 8: '2-6-2', 9: '1-8-1'}, 'STRK': {0: 'W2', 1: '2', 2: 'W3', 3: 'W1', 4: 'W1', 5: 'L2', 6: 'W1', 7: 'L2', 8: 'L2', 9: '1'}, 'TeamCode': ['BOS', 'MTL', 'TOR', 'CHI', 'NYR', 'MMR', 'NYA', 'DFL', 'SEN', 'QUA']}"
1931,"{'National Hockey LeagueNHL': {0: '1 MontréalMTL', 1: '2 NY RangersNYR', 2: '3 TorontoTOR', 3: '4 ChicagoCHI', 4: '5 DetroitDFL', 5: '6 MontrealMMR', 6: '7 BostonBOS', 7: '8 New YorkNYA'}, 'GP': {0: 48, 1: 48, 2: 48, 3: 48, 4: 48, 5: 48, 6: 48, 7: 48}, 'W': {0: 25, 1: 23, 2: 23, 3: 18, 4: 18, 5: 19, 6: 15, 7: 16}, 'L': {0: 16, 1: 17, 2: 18, 3: 19, 4: 20, 5: 22, 6: 21, 7: 24}, 'T': {0: 7, 1: 8, 2: 7, 3: 11, 4: 10, 5: 7, 6: 12, 7: 8}, 'PTS': {0: 57, 1: 54, 2: 53, 3: 47, 4: 46, 5: 45, 6: 42, 7: 40}, 'GF': {0: 128, 1: 134, 2: 155, 3: 86, 4: 95, 5: 142, 6: 122, 7: 95}, 'GA': {0: 111, 1: 112, 2: 127, 3: 101, 4: 108, 5: 139, 6: 117, 7: 142}, 'DIFF': {0: 17, 1: 22, 2: 28, 3: -15, 4: -13, 5: 3, 6: 5, 7: -47}, 'HOME': {0: '18-3-3', 1: '13-7-4', 2: '17-4-3', 3: '13-5-6', 4: '15-3-6', 5: '16-4-4', 6: '11-10-3', 7: '9-9-6'}, 'AWAY': {0: '7-13-4', 1: '10-10-4', 2: '6-14-4', 3: '5-14-5', 4: '3-17-4', 5: '3-18-3', 6: '4-11-9', 7: '7-15-2'}, 'L10': {0: '7-2-1', 1: '3-5-2', 2: '6-3-1', 3: '4-5-1', 4: '4-3-3', 5: '5-4-1', 6: '3-6-1', 7: '3-6-1'}, 'STRK': {0: 'W3', 1: 'L1', 2: 'L1', 3: 'W1', 4: 'W1', 5: 'L1', 6: 'L2', 7: 'W1'}, 'TeamCode': ['MTL', 'NYR', 'TOR', 'CHI', 'DFL', 'MMR', 'BOS', 'NYA']}"
1932,"{'National Hockey LeagueNHL': {0: '1 BostonBOS', 1: '2 DetroitDET', 2: '3 TorontoTOR', 3: '4 NY RangersNYR', 4: '5 MontrealMMR', 5: '6 ChicagoCHI', 6: '7 MontréalMTL', 7: '8 New YorkNYA', 8: '9 OttawaSEN'}, 'GP': {0: 48, 1: 48, 2: 48, 3: 48, 4: 48, 5: 48, 6: 48, 7: 48, 8: 48}, 'W': {0: 25, 1: 25, 2: 24, 3: 23, 4: 22, 5: 16, 6: 18, 7: 15, 8: 11}, 'L': {0: 15, 1: 15, 2: 18, 3: 17, 4: 20, 5: 20, 6: 25, 7: 22, 8: 27}, 'T': {0: 8, 1: 8, 2: 6, 3: 8, 4: 6, 5: 12, 6: 5, 7: 11, 8: 10}, 'PTS': {0: 58, 1: 58, 2: 54, 3: 54, 4: 50, 5: 44, 6: 41, 7: 41, 8: 32}, 'GF': {0: 124, 1: 111, 2: 119, 3: 135, 4: 135, 5: 88, 6: 92, 7: 91, 8: 88}, 'GA': {0: 88, 1: 93, 2: 111, 3: 107, 4: 119, 5: 101, 6: 115, 7: 118, 8: 131}, 'DIFF': {0: 36, 1: 18, 2: 8, 3: 28, 4: 16, 5: -13, 6: -23, 7: -27, 8: -43}, 'HOME': {0: '19-2-3', 1: '17-3-4', 2: '16-4-4', 3: '12-7-5', 4: '14-7-3', 5: '12-7-5', 6: '15-5-4', 7: '13-6-5', 8: '8-12-4'}, 'AWAY': {0: '6-13-5', 1: '8-12-4', 2: '8-14-2', 3: '11-10-3', 4: '8-13-3', 5: '4-13-7', 6: '3-20-1', 7: '2-16-6', 8: '3-15-6'}, 'L10': {0: '7-0-3', 1: '6-3-1', 2: '3-6-1', 3: '4-5-1', 4: '6-4-0', 5: '2-6-2', 6: '5-4-1', 7: '3-5-2', 8: '2-5-3'}, 'STRK': {0: 'W1', 1: 'W3', 2: '1', 3: 'W1', 4: 'L2', 5: '1', 6: 'L1', 7: 'W2', 8: 'W1'}, 'TeamCode': ['BOS', 'DET', 'TOR', 'NYR', 'MMR', 'CHI', 'MTL', 'NYA', 'SEN']}"
1933,"{'National Hockey LeagueNHL': {0: '1 TorontoTOR', 1: '2 DetroitDET', 2: '3 ChicagoCHI', 3: '4 MontréalMTL', 4: '5 NY RangersNYR', 5: '6 MontrealMMR', 6: '7 BostonBOS', 7: '8 New YorkNYA', 8: '9 OttawaSEN'}, 'GP': {0: 48, 1: 48, 2: 48, 3: 48, 4: 48, 5: 48, 6: 48, 7: 48, 8: 48}, 'W': {0: 26, 1: 24, 2: 20, 3: 22, 4: 21, 5: 19, 6: 18, 7: 15, 8: 13}, 'L': {0: 13, 1: 14, 2: 17, 3: 20, 4: 19, 5: 18, 6: 25, 7: 23, 8: 29}, 'T': {0: 9, 1: 10, 2: 11, 3: 6, 4: 8, 5: 11, 6: 5, 7: 10, 8: 6}, 'PTS': {0: 61, 1: 58, 2: 51, 3: 50, 4: 50, 5: 49, 6: 41, 7: 40, 8: 32}, 'GF': {0: 174, 1: 113, 2: 88, 3: 99, 4: 120, 5: 117, 6: 111, 7: 104, 8: 115}, 'GA': {0: 119, 1: 98, 2: 83, 3: 101, 4: 113, 5: 122, 6: 130, 7: 132, 8: 143}, 'DIFF': {0: 55, 1: 15, 2: 5, 3: -2, 4: 7, 5: -5, 6: -19, 7: -28, 8: -28}, 'HOME': {0: '19-2-3', 1: '15-5-4', 2: '13-4-7', 3: '16-6-2', 4: '11-7-6', 5: '11-6-7', 6: '11-11-2', 7: '7-12-5', 8: '9-13-2'}, 'AWAY': {0: '7-11-6', 1: '9-9-6', 2: '7-13-4', 3: '6-14-4', 4: '10-12-2', 5: '8-12-4', 6: '7-14-3', 7: '8-11-5', 8: '4-16-4'}, 'L10': {0: '5-5-0', 1: '6-4-0', 2: '3-6-1', 3: '7-3-0', 4: '3-6-1', 5: '5-3-2', 6: '6-4-0', 7: '3-6-1', 8: '4-5-1'}, 'STRK': {0: 'L1', 1: 'L1', 2: 'W2', 3: 'W1', 4: 'L2', 5: '1', 6: 'W4', 7: 'L1', 8: '1'}, 'TeamCode': ['TOR', 'DET', 'CHI', 'MTL', 'NYR', 'MMR', 'BOS', 'NYA', 'SEN']}"
1934,"{'National Hockey LeagueNHL': {0: '1 TorontoTOR', 1: '2 BostonBOS', 2: '3 ChicagoCHI', 3: '4 MontrealMMR', 4: '5 NY RangersNYR', 5: '6 DetroitDET', 6: '7 MontréalMTL', 7: '8 New YorkNYA', 8: '9 St. LouisSLE'}, 'GP': {0: 48, 1: 48, 2: 48, 3: 48, 4: 48, 5: 48, 6: 48, 7: 48, 8: 48}, 'W': {0: 30, 1: 26, 2: 26, 3: 24, 4: 22, 5: 19, 6: 19, 7: 12, 8: 11}, 'L': {0: 14, 1: 16, 2: 17, 3: 19, 4: 20, 5: 22, 6: 23, 7: 27, 8: 31}, 'T': {0: 4, 1: 6, 2: 5, 3: 5, 4: 6, 5: 7, 6: 6, 7: 9, 8: 6}, 'PTS': {0: 64, 1: 58, 2: 57, 3: 53, 4: 50, 5: 45, 6: 44, 7: 33, 8: 28}, 'GF': {0: 157, 1: 129, 2: 118, 3: 123, 4: 137, 5: 127, 6: 110, 7: 100, 8: 86}, 'GA': {0: 111, 1: 112, 2: 88, 3: 92, 4: 139, 5: 114, 6: 145, 7: 142, 8: 144}, 'DIFF': {0: 46, 1: 17, 2: 30, 3: 31, 4: -2, 5: 13, 6: -35, 7: -42, 8: -58}, 'HOME': {0: '16-6-2', 1: '17-7-0', 2: '12-9-3', 3: '12-9-3', 4: '11-8-5', 5: '11-8-5', 6: '11-11-2', 7: '7-13-4', 8: '7-14-3'}, 'AWAY': {0: '14-8-2', 1: '9-9-6', 2: '14-8-2', 3: '12-10-2', 4: '11-12-1', 5: '8-14-2', 6: '8-12-4', 7: '5-14-5', 8: '4-17-3'}, 'L10': {0: '8-2-0', 1: '6-2-2', 2: '6-3-1', 3: '4-3-3', 4: '1-7-2', 5: '7-3-0', 6: '3-6-1', 7: '2-7-1', 8: '3-7-0'}, 'STRK': {0: 'W3', 1: 'L2', 2: 'W3', 3: 'W1', 4: 'L3', 5: 'W2', 6: 'L3', 7: '1', 8: 'L1'}, 'TeamCode': ['TOR', 'BOS', 'CHI', 'MMR', 'NYR', 'DET', 'MTL', 'NYA', 'SLE']}"
1935,"{'National Hockey LeagueNHL': {0: '1 DetroitDET', 1: '2 MontrealMMR', 2: '3 TorontoTOR', 3: '4 BostonBOS', 4: '5 ChicagoCHI', 5: '6 NY RangersNYR', 6: '7 New YorkNYA', 7: '8 MontréalMTL'}, 'GP': {0: 48, 1: 48, 2: 48, 3: 48, 4: 48, 5: 48, 6: 48, 7: 48}, 'W': {0: 24, 1: 22, 2: 23, 3: 22, 4: 21, 5: 19, 6: 16, 7: 11}, 'L': {0: 16, 1: 16, 2: 19, 3: 20, 4: 19, 5: 17, 6: 25, 7: 26}, 'T': {0: 8, 1: 10, 2: 6, 3: 6, 4: 8, 5: 12, 6: 7, 7: 11}, 'PTS': {0: 56, 1: 54, 2: 52, 3: 50, 4: 50, 5: 50, 6: 39, 7: 33}, 'GF': {0: 124, 1: 114, 2: 126, 3: 92, 4: 93, 5: 91, 6: 109, 7: 82}, 'GA': {0: 103, 1: 106, 2: 106, 3: 83, 4: 92, 5: 96, 6: 122, 7: 123}, 'DIFF': {0: 21, 1: 8, 2: 20, 3: 9, 4: 1, 5: -5, 6: -13, 7: -41}, 'HOME': {0: '14-5-5', 1: '13-8-3', 2: '15-4-5', 3: '15-8-1', 4: '15-7-2', 5: '11-6-7', 6: '10-11-3', 7: '5-11-8'}, 'AWAY': {0: '10-11-3', 1: '9-8-7', 2: '8-15-1', 3: '7-12-5', 4: '6-12-6', 5: '8-11-5', 6: '6-14-4', 7: '6-15-3'}, 'L10': {0: '4-5-1', 1: '6-1-3', 2: '5-3-2', 3: '5-2-3', 4: '3-5-2', 5: '4-3-3', 6: '4-6-0', 7: '1-8-1'}, 'STRK': {0: 'W2', 1: 'W4', 2: 'W1', 3: 'L1', 4: 'L4', 5: 'W4', 6: 'L2', 7: 'L3'}, 'TeamCode': ['DET', 'MMR', 'TOR', 'BOS', 'CHI', 'NYR', 'NYA', 'MTL']}"
1936,"{'National Hockey LeagueNHL': {0: '1 DetroitDET', 1: '2 MontréalMTL', 2: '3 BostonBOS', 3: '4 MontrealMMR', 4: '5 TorontoTOR', 5: '6 NY RangersNYR', 6: '7 ChicagoCHI', 7: '8 New YorkNYA'}, 'GP': {0: 48, 1: 48, 2: 48, 3: 48, 4: 48, 5: 48, 6: 48, 7: 48}, 'W': {0: 25, 1: 24, 2: 23, 3: 22, 4: 22, 5: 19, 6: 14, 7: 15}, 'L': {0: 14, 1: 18, 2: 18, 3: 17, 4: 21, 5: 20, 6: 27, 7: 29}, 'T': {0: 9, 1: 6, 2: 7, 3: 9, 4: 5, 5: 9, 6: 7, 7: 4}, 'PTS': {0: 59, 1: 54, 2: 53, 3: 53, 4: 49, 5: 47, 6: 35, 7: 34}, 'GF': {0: 128, 1: 115, 2: 120, 3: 126, 4: 119, 5: 117, 6: 99, 7: 122}, 'GA': {0: 102, 1: 111, 2: 110, 3: 110, 4: 115, 5: 106, 6: 131, 7: 161}, 'DIFF': {0: 26, 1: 4, 2: 10, 3: 16, 4: 4, 5: 11, 6: -32, 7: -39}, 'HOME': {0: '14-5-5', 1: '16-8-0', 2: '9-11-4', 3: '12-7-5', 4: '14-9-1', 5: '9-7-8', 6: '8-13-3', 7: '9-13-2'}, 'AWAY': {0: '11-9-4', 1: '8-10-6', 2: '14-7-3', 3: '10-10-4', 4: '8-12-4', 5: '10-13-1', 6: '6-14-4', 7: '6-16-2'}, 'L10': {0: '5-4-1', 1: '2-6-2', 2: '5-3-2', 3: '7-2-1', 4: '6-2-2', 5: '4-6-0', 6: '4-5-1', 7: '4-6-0'}, 'STRK': {0: 'L2', 1: 'L2', 2: 'W1', 3: 'W2', 4: 'W2', 5: 'W1', 6: 'L2', 7: 'L1'}, 'TeamCode': ['DET', 'MTL', 'BOS', 'MMR', 'TOR', 'NYR', 'CHI', 'NYA']}"
1937,"{'National Hockey LeagueNHL': {0: '1 BostonBOS', 1: '2 NY RangersNYR', 2: '3 TorontoTOR', 3: '4 New YorkNYA', 4: '5 MontréalMTL', 5: '6 ChicagoCHI', 6: '7 DetroitDET', 7: '8 MontrealMMR'}, 'GP': {0: 48, 1: 48, 2: 48, 3: 48, 4: 48, 5: 48, 6: 48, 7: 48}, 'W': {0: 30, 1: 27, 2: 24, 3: 19, 4: 18, 5: 14, 6: 12, 7: 12}, 'L': {0: 11, 1: 15, 2: 15, 3: 18, 4: 17, 5: 25, 6: 25, 7: 30}, 'T': {0: 7, 1: 6, 2: 9, 3: 11, 4: 13, 5: 9, 6: 11, 7: 6}, 'PTS': {0: 67, 1: 60, 2: 57, 3: 49, 4: 49, 5: 37, 6: 35, 7: 30}, 'GF': {0: 142, 1: 149, 2: 151, 3: 110, 4: 123, 5: 97, 6: 99, 7: 101}, 'GA': {0: 89, 1: 96, 2: 127, 3: 111, 4: 128, 5: 139, 6: 133, 7: 149}, 'DIFF': {0: 53, 1: 53, 2: 24, 3: -1, 4: -5, 5: -42, 6: -34, 7: -48}, 'HOME': {0: '18-3-3', 1: '14-6-4', 2: '13-6-5', 3: '9-9-6', 4: '13-5-6', 5: '10-10-4', 6: '8-10-6', 7: '9-13-2'}, 'AWAY': {0: '12-8-4', 1: '13-9-2', 2: '11-9-4', 3: '10-9-5', 4: '5-12-7', 5: '4-15-5', 6: '4-15-5', 7: '3-17-4'}, 'L10': {0: '5-2-3', 1: '6-3-1', 2: '5-4-1', 3: '5-3-2', 4: '2-3-5', 5: '4-6-0', 6: '3-5-2', 7: '2-6-2'}, 'STRK': {0: 'W1', 1: 'L1', 2: 'L1', 3: 'W1', 4: '1', 5: 'L3', 6: 'W1', 7: 'L1'}, 'TeamCode': ['BOS', 'NYR', 'TOR', 'NYA', 'MTL', 'CHI', 'DET', 'MMR']}"
1938,"{'National Hockey LeagueNHL': {0: '1 BostonBOS', 1: '2 NY RangersNYR', 2: '3 TorontoTOR', 3: '4 New YorkNYA', 4: '5 DetroitDET', 5: '6 MontréalMTL', 6: '7 ChicagoCHI'}, 'GP': {0: 48, 1: 48, 2: 48, 3: 48, 4: 48, 5: 48, 6: 48}, 'W': {0: 36, 1: 26, 2: 19, 3: 17, 4: 18, 5: 15, 6: 12}, 'L': {0: 10, 1: 16, 2: 20, 3: 21, 4: 24, 5: 24, 6: 28}, 'T': {0: 2, 1: 6, 2: 9, 3: 10, 4: 6, 5: 9, 6: 8}, 'PTS': {0: 74, 1: 58, 2: 47, 3: 44, 4: 42, 5: 39, 6: 32}, 'GF': {0: 156, 1: 149, 2: 114, 3: 119, 4: 107, 5: 115, 6: 91}, 'GA': {0: 76, 1: 105, 2: 107, 3: 157, 4: 128, 5: 146, 6: 132}, 'DIFF': {0: 80, 1: 44, 2: 7, 3: -38, 4: -21, 5: -31, 6: -41}, 'HOME': {0: '20-2-2', 1: '13-8-3', 2: '13-8-3', 3: '12-8-4', 4: '14-8-2', 5: '8-11-5', 6: '5-13-6'}, 'AWAY': {0: '16-8-0', 1: '13-8-3', 2: '6-12-6', 3: '5-13-6', 4: '4-16-4', 5: '7-13-4', 6: '7-15-2'}, 'L10': {0: '9-1-0', 1: '3-6-1', 2: '5-3-2', 3: '2-7-1', 4: '6-4-0', 5: '5-3-2', 6: '1-8-1'}, 'STRK': {0: 'W8', 1: 'W1', 2: 'L1', 3: 'L2', 4: 'W3', 5: 'L1', 6: 'L6'}, 'TeamCode': ['BOS', 'NYR', 'TOR', 'NYA', 'DET', 'MTL', 'CHI']}"
1939,"{'National Hockey LeagueNHL': {0: '1 BostonBOS', 1: '2 NY RangersNYR', 2: '3 TorontoTOR', 3: '4 ChicagoCHI', 4: '5 DetroitDET', 5: '6 New YorkNYA', 6: '7 MontréalMTL'}, 'GP': {0: 48, 1: 48, 2: 48, 3: 48, 4: 48, 5: 48, 6: 48}, 'W': {0: 31, 1: 27, 2: 25, 3: 23, 4: 16, 5: 15, 6: 10}, 'L': {0: 12, 1: 11, 2: 17, 3: 19, 4: 26, 5: 29, 6: 33}, 'T': {0: 5, 1: 10, 2: 6, 3: 6, 4: 6, 5: 4, 6: 5}, 'PTS': {0: 67, 1: 64, 2: 56, 3: 52, 4: 38, 5: 34, 6: 25}, 'GF': {0: 170, 1: 136, 2: 134, 3: 112, 4: 90, 5: 106, 6: 90}, 'GA': {0: 98, 1: 77, 2: 110, 3: 120, 4: 126, 5: 140, 6: 167}, 'DIFF': {0: 72, 1: 59, 2: 24, 3: -8, 4: -36, 5: -34, 6: -77}, 'HOME': {0: '20-3-1', 1: '17-4-3', 2: '15-3-6', 3: '15-7-2', 4: '11-10-3', 5: '12-11-1', 6: '5-14-5'}, 'AWAY': {0: '11-9-4', 1: '10-7-7', 2: '10-14-0', 3: '8-12-4', 4: '5-16-3', 5: '3-18-3', 6: '5-19-0'}, 'L10': {0: '6-3-1', 1: '4-4-2', 2: '6-3-1', 3: '7-3-0', 4: '4-6-0', 5: '4-4-2', 6: '1-8-1'}, 'STRK': {0: 'W1', 1: '1', 2: 'L1', 3: 'W3', 4: 'L2', 5: 'W1', 6: 'L3'}, 'TeamCode': ['BOS', 'NYR', 'TOR', 'CHI', 'DET', 'NYA', 'MTL']}"
